idind	idcol	CXSGT	M1079	M1102	M1106	M1112	M1113	M1551	M1975	M1979	M244	M809	M811	M813	M815	M831	PP1	PP3	run	col_origin	proba_col_origin	proba_rank	natal_disperser
3551	M831	0.036	0.034	0.052	0.055	0.066	0.09	0.059	0.058	0.079	0.04	0.062	0.06	0.062	0.053	0.07	0.071	0.053	2	M1113	0.09	1	TRUE
3818	M1112	0.088	0.038	0.048	0.038	0.065	0.061	0.075	0.033	0.034	0.063	0.077	0.058	0.069	0.077	0.083	0.051	0.039	2	CXSGT	0.088	1	TRUE
1077	M1975	0.051	0.07	0.053	0.082	0.049	0.053	0.052	0.044	0.04	0.043	0.056	0.057	0.071	0.108	0.056	0.05	0.064	2	M815	0.108	1	TRUE
2492	PP1	0.054	0.082	0.067	0.056	0.055	0.068	0.045	0.087	0.054	0.035	0.049	0.048	0.061	0.058	0.048	0.077	0.056	2	M1975	0.087	1	TRUE
1835	M1102	0.057	0.044	0.087	0.039	0.07	0.067	0.071	0.036	0.049	0.082	0.056	0.064	0.055	0.054	0.076	0.048	0.046	2	M1102	0.087	1	FALSE
379	M811	0.022	0.025	0.044	0.041	0.056	0.033	0.044	0.034	0.043	0.041	0.041	0.221	0.045	0.035	0.04	0.068	0.166	2	M811	0.221	1	FALSE
394	M813	0.053	0.039	0.047	0.069	0.05	0.077	0.064	0.034	0.025	0.049	0.068	0.077	0.06	0.117	0.054	0.057	0.06	2	M815	0.117	1	TRUE
2471	M809	0.04	0.042	0.058	0.072	0.069	0.093	0.064	0.042	0.043	0.033	0.061	0.07	0.068	0.074	0.044	0.064	0.061	2	M1113	0.093	1	TRUE
97	M831	0.042	0.068	0.056	0.081	0.046	0.048	0.054	0.079	0.07	0.056	0.071	0.059	0.056	0.052	0.066	0.043	0.054	2	M1106	0.081	1	TRUE
3529	M831	0.051	0.049	0.071	0.052	0.071	0.072	0.063	0.055	0.04	0.048	0.059	0.08	0.057	0.054	0.073	0.066	0.04	2	M811	0.08	1	TRUE
1500	M1079	0.061	0.171	0.056	0.043	0.041	0.051	0.04	0.092	0.107	0.037	0.045	0.036	0.047	0.041	0.044	0.044	0.045	2	M1079	0.171	1	FALSE
403	M1102	0.03	0.056	0.072	0.047	0.051	0.041	0.062	0.059	0.065	0.051	0.045	0.044	0.041	0.04	0.182	0.056	0.057	2	M831	0.182	1	TRUE
2323	M244	0.037	0.07	0.052	0.087	0.064	0.051	0.066	0.044	0.038	0.057	0.056	0.045	0.052	0.072	0.06	0.057	0.091	2	PP3	0.091	1	TRUE
100	M831	0.038	0.042	0.054	0.061	0.048	0.055	0.059	0.112	0.09	0.055	0.059	0.046	0.049	0.064	0.058	0.05	0.058	2	M1975	0.112	1	TRUE
3514	M831	0.034	0.025	0.05	0.064	0.059	0.062	0.066	0.04	0.029	0.118	0.057	0.065	0.067	0.068	0.068	0.062	0.066	2	M244	0.118	1	TRUE
3505	M831	0.036	0.034	0.061	0.051	0.05	0.048	0.071	0.032	0.096	0.071	0.049	0.06	0.048	0.045	0.131	0.057	0.058	2	M831	0.131	1	FALSE
128	M831	0.079	0.046	0.057	0.044	0.064	0.075	0.057	0.048	0.045	0.051	0.081	0.057	0.067	0.068	0.075	0.051	0.034	2	M809	0.081	1	TRUE
1614	M831	0.044	0.028	0.05	0.045	0.056	0.087	0.061	0.037	0.037	0.088	0.078	0.047	0.099	0.046	0.095	0.065	0.037	2	M813	0.099	1	TRUE
2387	M1551	0.037	0.06	0.085	0.065	0.065	0.054	0.084	0.041	0.032	0.045	0.06	0.066	0.051	0.048	0.09	0.052	0.066	2	M831	0.09	1	TRUE
1564	M1079	0.039	0.045	0.089	0.068	0.064	0.048	0.107	0.038	0.031	0.061	0.064	0.073	0.066	0.044	0.064	0.045	0.053	2	M1551	0.107	1	TRUE
2617	M1106	0.044	0.029	0.064	0.047	0.07	0.061	0.065	0.044	0.058	0.051	0.085	0.054	0.078	0.054	0.069	0.065	0.064	2	M809	0.085	1	TRUE
1775	M1106	0.058	0.066	0.061	0.082	0.046	0.05	0.075	0.038	0.036	0.08	0.044	0.057	0.053	0.047	0.058	0.071	0.078	2	M1106	0.082	1	FALSE
18	M1979	0.044	0.055	0.037	0.033	0.029	0.027	0.035	0.103	0.37	0.035	0.032	0.031	0.032	0.028	0.039	0.034	0.037	2	M1979	0.37	1	FALSE
3266	M831	0.06	0.042	0.052	0.064	0.049	0.045	0.062	0.054	0.057	0.076	0.048	0.043	0.056	0.038	0.141	0.05	0.061	2	M831	0.141	1	FALSE
2130	M831	0.032	0.03	0.084	0.058	0.065	0.063	0.072	0.04	0.041	0.067	0.068	0.054	0.073	0.052	0.095	0.063	0.043	2	M831	0.095	1	FALSE
590	M244	0.039	0.056	0.044	0.085	0.059	0.061	0.062	0.042	0.029	0.106	0.046	0.061	0.062	0.059	0.056	0.059	0.072	2	M244	0.106	1	FALSE
755	M1106	0.026	0.135	0.045	0.08	0.058	0.065	0.048	0.032	0.039	0.044	0.062	0.046	0.055	0.05	0.051	0.068	0.096	2	M1079	0.135	1	TRUE
1557	M831	0.03	0.036	0.071	0.063	0.056	0.08	0.075	0.069	0.075	0.063	0.061	0.053	0.052	0.045	0.062	0.051	0.059	2	M1113	0.08	1	TRUE
3815	M1113	0.034	0.028	0.081	0.064	0.077	0.091	0.07	0.034	0.031	0.043	0.059	0.071	0.08	0.059	0.044	0.073	0.062	2	M1113	0.091	1	FALSE
3916	M1079	0.094	0.188	0.047	0.059	0.045	0.058	0.049	0.045	0.041	0.043	0.052	0.047	0.046	0.04	0.037	0.047	0.062	2	M1079	0.188	1	FALSE
2360	M244	0.046	0.044	0.05	0.04	0.046	0.045	0.063	0.039	0.038	0.19	0.05	0.041	0.071	0.054	0.108	0.041	0.036	2	M244	0.19	1	FALSE
3860	M1102	0.055	0.041	0.063	0.049	0.048	0.048	0.077	0.031	0.037	0.075	0.048	0.047	0.052	0.041	0.048	0.091	0.151	2	PP3	0.151	1	TRUE
3561	M831	0.06	0.063	0.048	0.065	0.046	0.038	0.067	0.037	0.054	0.109	0.056	0.043	0.051	0.04	0.111	0.044	0.07	2	M831	0.111	1	FALSE
1821	M1975	0.034	0.041	0.054	0.073	0.049	0.049	0.066	0.146	0.043	0.061	0.058	0.058	0.046	0.054	0.058	0.061	0.049	2	M1975	0.146	1	FALSE
3196	M1079	0.036	0.053	0.2	0.034	0.045	0.047	0.039	0.079	0.069	0.029	0.036	0.043	0.054	0.051	0.034	0.047	0.105	2	M1102	0.2	1	TRUE
1806	M1975	0.063	0.08	0.054	0.037	0.048	0.047	0.054	0.073	0.151	0.062	0.048	0.041	0.042	0.047	0.057	0.049	0.045	2	M1979	0.151	1	TRUE
1098	M1975	0.046	0.038	0.049	0.034	0.059	0.049	0.051	0.089	0.206	0.039	0.047	0.045	0.046	0.046	0.076	0.045	0.035	2	M1979	0.206	1	TRUE
3521	M831	0.055	0.033	0.065	0.05	0.059	0.076	0.069	0.045	0.048	0.063	0.056	0.064	0.068	0.058	0.067	0.062	0.062	2	M1113	0.076	1	TRUE
1069	M1975	0.05	0.064	0.046	0.04	0.043	0.055	0.04	0.168	0.177	0.035	0.044	0.036	0.041	0.039	0.042	0.043	0.038	2	M1979	0.177	1	TRUE
3510	M831	0.038	0.036	0.047	0.071	0.063	0.078	0.06	0.052	0.07	0.045	0.057	0.061	0.052	0.044	0.091	0.083	0.052	2	M831	0.091	1	FALSE
1146	M1975	0.044	0.091	0.061	0.065	0.047	0.054	0.05	0.065	0.047	0.085	0.058	0.054	0.062	0.061	0.06	0.05	0.049	2	M1079	0.091	1	TRUE
138	M831	0.042	0.031	0.047	0.067	0.072	0.08	0.049	0.038	0.044	0.068	0.086	0.048	0.11	0.056	0.042	0.067	0.052	2	M813	0.11	1	TRUE
641	M1106	0.034	0.091	0.069	0.043	0.048	0.051	0.05	0.057	0.061	0.077	0.065	0.08	0.073	0.05	0.066	0.045	0.041	2	M1079	0.091	1	TRUE
1812	M1975	0.022	0.041	0.036	0.047	0.031	0.029	0.04	0.387	0.088	0.037	0.034	0.03	0.033	0.03	0.043	0.029	0.043	2	M1975	0.387	1	FALSE
2134	M831	0.038	0.049	0.092	0.075	0.045	0.067	0.089	0.04	0.06	0.064	0.058	0.043	0.052	0.034	0.076	0.05	0.07	2	M1102	0.092	1	TRUE
906	M1113	0.067	0.051	0.044	0.071	0.06	0.064	0.054	0.045	0.045	0.061	0.066	0.067	0.061	0.067	0.055	0.069	0.051	2	M1106	0.071	1	TRUE
3283	M831	0.048	0.082	0.075	0.061	0.064	0.048	0.055	0.04	0.084	0.043	0.04	0.053	0.068	0.062	0.057	0.05	0.071	2	M1979	0.084	1	TRUE
2388	M1551	0.058	0.048	0.046	0.066	0.054	0.054	0.073	0.044	0.046	0.088	0.064	0.061	0.072	0.06	0.063	0.048	0.055	2	M244	0.088	1	TRUE
3244	M831	0.039	0.038	0.08	0.057	0.059	0.046	0.074	0.033	0.031	0.09	0.054	0.058	0.062	0.062	0.105	0.056	0.054	2	M831	0.105	1	FALSE
2340	M244	0.049	0.05	0.053	0.049	0.049	0.09	0.06	0.04	0.033	0.088	0.069	0.079	0.053	0.067	0.05	0.069	0.053	2	M1113	0.09	1	TRUE
3165	M815	0.077	0.059	0.058	0.057	0.047	0.083	0.054	0.034	0.039	0.041	0.063	0.072	0.061	0.095	0.052	0.055	0.053	2	M815	0.095	1	FALSE
700	M1106	0.077	0.058	0.047	0.124	0.055	0.043	0.05	0.039	0.033	0.062	0.051	0.039	0.063	0.054	0.041	0.082	0.082	2	M1106	0.124	1	FALSE
1141	M1975	0.065	0.05	0.073	0.058	0.057	0.054	0.052	0.086	0.117	0.04	0.049	0.046	0.057	0.047	0.041	0.048	0.059	2	M1979	0.117	1	TRUE
2418	M811	0.033	0.054	0.052	0.05	0.07	0.091	0.057	0.036	0.047	0.056	0.073	0.08	0.058	0.072	0.049	0.055	0.067	2	M1113	0.091	1	TRUE
155	M831	0.036	0.041	0.065	0.099	0.075	0.044	0.071	0.04	0.035	0.051	0.052	0.066	0.064	0.064	0.087	0.052	0.058	2	M1106	0.099	1	TRUE
3247	M831	0.043	0.048	0.163	0.061	0.046	0.044	0.045	0.041	0.03	0.039	0.045	0.048	0.069	0.074	0.056	0.05	0.099	2	M1102	0.163	1	TRUE
208	M831	0.033	0.039	0.056	0.088	0.062	0.084	0.068	0.035	0.034	0.054	0.063	0.065	0.058	0.053	0.069	0.07	0.069	2	M1106	0.088	1	TRUE
3465	M1113	0.057	0.046	0.057	0.05	0.059	0.084	0.057	0.048	0.051	0.068	0.076	0.078	0.054	0.06	0.055	0.058	0.042	2	M1113	0.084	1	FALSE
983	PP3	0.067	0.043	0.051	0.072	0.056	0.056	0.059	0.051	0.039	0.057	0.06	0.066	0.051	0.096	0.057	0.06	0.061	2	M815	0.096	1	TRUE
1561	M831	0.035	0.028	0.072	0.056	0.058	0.062	0.06	0.035	0.106	0.045	0.048	0.065	0.055	0.047	0.084	0.082	0.062	2	M1979	0.106	1	TRUE
2142	M831	0.038	0.043	0.074	0.076	0.07	0.046	0.066	0.05	0.041	0.066	0.05	0.053	0.063	0.047	0.105	0.047	0.063	2	M831	0.105	1	FALSE
719	M1551	0.039	0.037	0.058	0.057	0.063	0.064	0.084	0.031	0.036	0.058	0.087	0.049	0.082	0.062	0.101	0.044	0.048	2	M831	0.101	1	TRUE
1837	M1975	0.027	0.049	0.051	0.041	0.036	0.042	0.034	0.238	0.196	0.026	0.034	0.035	0.04	0.032	0.033	0.04	0.046	2	M1975	0.238	1	FALSE
990	PP3	0.022	0.023	0.047	0.047	0.052	0.086	0.069	0.027	0.033	0.069	0.063	0.059	0.074	0.072	0.072	0.112	0.074	2	PP1	0.112	1	TRUE
3188	M1102	0.056	0.074	0.069	0.063	0.063	0.059	0.06	0.032	0.038	0.042	0.057	0.07	0.052	0.083	0.07	0.057	0.056	2	M815	0.083	1	TRUE
1737	M1106	0.041	0.029	0.1	0.05	0.075	0.056	0.052	0.038	0.061	0.062	0.044	0.054	0.09	0.055	0.07	0.075	0.048	2	M1102	0.1	1	TRUE
2753	M244	0.074	0.059	0.052	0.048	0.057	0.063	0.063	0.039	0.032	0.088	0.056	0.068	0.056	0.075	0.054	0.063	0.053	2	M244	0.088	1	FALSE
3013	M244	0.052	0.071	0.149	0.031	0.04	0.04	0.042	0.095	0.099	0.037	0.038	0.038	0.043	0.048	0.041	0.047	0.088	2	M1102	0.149	1	TRUE
789	M815	0.086	0.136	0.052	0.057	0.048	0.049	0.05	0.053	0.05	0.049	0.049	0.048	0.044	0.07	0.049	0.057	0.052	2	M1079	0.136	1	TRUE
1653	M831	0.04	0.065	0.05	0.086	0.051	0.047	0.066	0.06	0.06	0.052	0.052	0.051	0.044	0.08	0.07	0.047	0.077	2	M1106	0.086	1	TRUE
2453	PP3	0.039	0.046	0.056	0.047	0.083	0.044	0.055	0.061	0.069	0.078	0.065	0.062	0.071	0.05	0.061	0.057	0.056	2	M1112	0.083	1	TRUE
1755	M1106	0.03	0.109	0.038	0.082	0.066	0.062	0.046	0.033	0.03	0.044	0.066	0.033	0.06	0.034	0.066	0.129	0.071	2	PP1	0.129	1	TRUE
3205	M1079	0.073	0.065	0.148	0.038	0.047	0.056	0.046	0.053	0.051	0.044	0.043	0.043	0.047	0.055	0.046	0.062	0.083	2	M1102	0.148	1	TRUE
866	M813	0.047	0.029	0.059	0.05	0.067	0.09	0.053	0.057	0.035	0.041	0.083	0.077	0.076	0.094	0.044	0.054	0.045	2	M815	0.094	1	TRUE
503	M244	0.033	0.038	0.053	0.066	0.058	0.06	0.076	0.048	0.048	0.108	0.065	0.055	0.063	0.051	0.062	0.051	0.064	2	M244	0.108	1	FALSE
865	M813	0.049	0.063	0.059	0.086	0.053	0.055	0.06	0.04	0.033	0.064	0.058	0.045	0.062	0.068	0.068	0.065	0.074	2	M1106	0.086	1	TRUE
559	M244	0.032	0.074	0.049	0.05	0.07	0.074	0.061	0.026	0.036	0.056	0.107	0.076	0.068	0.054	0.064	0.056	0.045	2	M809	0.107	1	TRUE
3253	M831	0.048	0.044	0.062	0.04	0.048	0.052	0.065	0.095	0.045	0.074	0.063	0.048	0.056	0.046	0.134	0.04	0.041	2	M831	0.134	1	FALSE
2488	M1113	0.04	0.083	0.134	0.041	0.042	0.052	0.052	0.053	0.057	0.056	0.044	0.046	0.049	0.043	0.055	0.046	0.107	2	M1102	0.134	1	TRUE
3305	PP3	0.032	0.049	0.05	0.115	0.055	0.051	0.055	0.081	0.049	0.041	0.055	0.048	0.072	0.044	0.062	0.064	0.077	2	M1106	0.115	1	TRUE
1038	M809	0.032	0.038	0.062	0.075	0.07	0.07	0.065	0.03	0.032	0.056	0.08	0.057	0.08	0.073	0.05	0.058	0.072	2	M809	0.08	1	FALSE
743	M1106	0.053	0.053	0.085	0.083	0.056	0.07	0.067	0.037	0.028	0.051	0.056	0.045	0.071	0.053	0.076	0.059	0.056	2	M1102	0.085	1	TRUE
1608	M831	0.038	0.025	0.057	0.053	0.099	0.047	0.055	0.031	0.06	0.055	0.058	0.07	0.073	0.038	0.096	0.098	0.048	2	M1112	0.099	1	TRUE
1134	CXSGT	0.124	0.061	0.082	0.052	0.047	0.043	0.051	0.093	0.046	0.049	0.047	0.039	0.05	0.043	0.04	0.071	0.062	2	CXSGT	0.124	1	FALSE
656	M1551	0.031	0.032	0.066	0.044	0.057	0.06	0.072	0.032	0.044	0.116	0.124	0.051	0.054	0.041	0.073	0.052	0.05	2	M809	0.124	1	TRUE
2516	PP1	0.041	0.033	0.067	0.06	0.054	0.057	0.072	0.038	0.046	0.05	0.067	0.059	0.07	0.072	0.083	0.079	0.051	2	M831	0.083	1	TRUE
3816	M1113	0.046	0.05	0.076	0.068	0.048	0.076	0.055	0.055	0.062	0.053	0.056	0.049	0.057	0.061	0.07	0.06	0.058	2	M1102	0.076	1	TRUE
3000	M813	0.072	0.043	0.056	0.07	0.047	0.06	0.051	0.066	0.041	0.049	0.066	0.049	0.06	0.103	0.055	0.059	0.052	2	M815	0.103	1	TRUE
238	M831	0.033	0.033	0.075	0.04	0.061	0.055	0.053	0.111	0.117	0.048	0.052	0.054	0.057	0.069	0.059	0.041	0.042	2	M1979	0.117	1	TRUE
3258	M831	0.028	0.039	0.063	0.038	0.047	0.063	0.042	0.191	0.114	0.038	0.048	0.046	0.05	0.056	0.036	0.051	0.05	2	M1975	0.191	1	TRUE
298	PP1	0.054	0.039	0.037	0.059	0.074	0.054	0.058	0.044	0.038	0.044	0.106	0.058	0.059	0.076	0.068	0.08	0.05	2	M809	0.106	1	TRUE
200	M831	0.059	0.052	0.058	0.048	0.071	0.054	0.061	0.031	0.038	0.045	0.059	0.061	0.058	0.105	0.062	0.078	0.061	2	M815	0.105	1	TRUE
1731	M1106	0.054	0.03	0.036	0.036	0.102	0.042	0.048	0.144	0.079	0.046	0.061	0.064	0.068	0.079	0.04	0.039	0.034	2	M1975	0.144	1	TRUE
2086	CXSGT	0.1	0.178	0.057	0.042	0.034	0.033	0.044	0.084	0.091	0.052	0.036	0.045	0.036	0.034	0.056	0.043	0.036	2	M1079	0.178	1	TRUE
3876	M1102	0.036	0.043	0.05	0.064	0.049	0.053	0.059	0.055	0.044	0.078	0.053	0.05	0.06	0.038	0.054	0.05	0.163	2	PP3	0.163	1	TRUE
1793	M811	0.046	0.055	0.045	0.065	0.058	0.045	0.064	0.034	0.054	0.066	0.077	0.043	0.064	0.054	0.067	0.076	0.088	2	PP3	0.088	1	TRUE
2356	CXSGT	0.037	0.038	0.052	0.05	0.061	0.074	0.08	0.065	0.047	0.063	0.066	0.106	0.058	0.053	0.056	0.049	0.046	2	M811	0.106	1	TRUE
3259	M831	0.031	0.077	0.056	0.056	0.057	0.077	0.051	0.07	0.054	0.044	0.065	0.048	0.059	0.057	0.071	0.068	0.057	2	M1079	0.077	1	TRUE
1925	M831	0.079	0.058	0.043	0.064	0.047	0.056	0.051	0.076	0.069	0.038	0.061	0.056	0.049	0.109	0.044	0.051	0.049	2	M815	0.109	1	TRUE
681	M1551	0.031	0.041	0.07	0.07	0.058	0.087	0.056	0.039	0.033	0.09	0.065	0.054	0.058	0.048	0.068	0.067	0.066	2	M244	0.09	1	TRUE
2607	M1106	0.029	0.055	0.044	0.086	0.054	0.056	0.067	0.04	0.056	0.079	0.084	0.055	0.067	0.044	0.062	0.044	0.077	2	M1106	0.086	1	FALSE
748	M1106	0.109	0.078	0.042	0.06	0.054	0.043	0.049	0.054	0.046	0.059	0.052	0.049	0.055	0.086	0.047	0.064	0.052	2	CXSGT	0.109	1	TRUE
3170	M1102	0.044	0.058	0.051	0.071	0.047	0.056	0.062	0.078	0.078	0.05	0.055	0.058	0.051	0.055	0.083	0.041	0.062	2	M831	0.083	1	TRUE
302	M831	0.109	0.054	0.05	0.041	0.058	0.054	0.058	0.048	0.036	0.059	0.069	0.054	0.065	0.108	0.057	0.044	0.036	2	CXSGT	0.109	1	TRUE
592	M244	0.029	0.037	0.053	0.095	0.052	0.061	0.05	0.038	0.035	0.091	0.075	0.052	0.1	0.048	0.052	0.063	0.069	2	M813	0.1	1	TRUE
775	M815	0.047	0.049	0.068	0.043	0.063	0.075	0.069	0.033	0.048	0.057	0.071	0.066	0.059	0.079	0.082	0.05	0.042	2	M831	0.082	1	TRUE
3203	M1102	0.061	0.042	0.055	0.049	0.06	0.058	0.058	0.05	0.087	0.058	0.06	0.062	0.051	0.053	0.083	0.064	0.049	2	M1979	0.087	1	TRUE
1857	M1079	0.029	0.058	0.04	0.089	0.06	0.036	0.058	0.059	0.074	0.072	0.056	0.058	0.061	0.043	0.054	0.049	0.106	2	PP3	0.106	1	TRUE
2338	M244	0.036	0.198	0.042	0.056	0.049	0.041	0.05	0.032	0.028	0.058	0.058	0.046	0.049	0.066	0.056	0.038	0.099	2	M1079	0.198	1	TRUE
1924	M831	0.05	0.076	0.06	0.071	0.051	0.054	0.068	0.052	0.049	0.086	0.055	0.047	0.048	0.05	0.067	0.052	0.063	2	M244	0.086	1	TRUE
3507	M831	0.05	0.068	0.072	0.067	0.06	0.054	0.053	0.041	0.06	0.051	0.055	0.05	0.053	0.058	0.093	0.063	0.054	2	M831	0.093	1	FALSE
501	M244	0.035	0.059	0.076	0.079	0.053	0.043	0.067	0.043	0.033	0.08	0.048	0.045	0.045	0.058	0.096	0.066	0.073	2	M831	0.096	1	TRUE
2999	M244	0.053	0.049	0.059	0.047	0.067	0.06	0.07	0.039	0.04	0.111	0.061	0.056	0.052	0.061	0.075	0.051	0.048	2	M244	0.111	1	FALSE
3833	M1113	0.049	0.057	0.049	0.08	0.042	0.094	0.054	0.029	0.031	0.04	0.073	0.058	0.065	0.092	0.051	0.079	0.057	2	M1113	0.094	1	FALSE
3268	M831	0.05	0.057	0.049	0.047	0.064	0.057	0.064	0.052	0.039	0.085	0.061	0.054	0.063	0.063	0.078	0.049	0.066	2	M244	0.085	1	TRUE
2136	M831	0.032	0.035	0.063	0.064	0.093	0.049	0.074	0.04	0.033	0.078	0.058	0.058	0.059	0.042	0.118	0.053	0.05	2	M831	0.118	1	FALSE
3803	M815	0.056	0.097	0.052	0.053	0.052	0.055	0.052	0.053	0.064	0.042	0.051	0.056	0.05	0.09	0.058	0.053	0.066	2	M1079	0.097	1	TRUE
127	M831	0.069	0.052	0.043	0.051	0.066	0.062	0.054	0.033	0.119	0.05	0.061	0.048	0.048	0.047	0.061	0.08	0.054	2	M1979	0.119	1	TRUE
3315	M1975	0.043	0.036	0.047	0.052	0.053	0.062	0.051	0.125	0.126	0.048	0.055	0.055	0.051	0.066	0.041	0.048	0.04	2	M1979	0.126	1	TRUE
3333	M813	0.039	0.023	0.07	0.05	0.072	0.056	0.066	0.037	0.073	0.043	0.051	0.08	0.065	0.053	0.122	0.059	0.043	2	M831	0.122	1	TRUE
